Orange County Official Results,,,,,,,,,,,,
US SENATOR (Vote for One),,,,,,,,,,Amended - 12/11/18,,
General Election - 11/6/18,,,,,,,,,,,,
DISTRICT,TO,,,,,,,,,,,
,,,,DEM,REP,CON,WOR,IND,WEP,REF,,
New Windsor 3,312,510,61.18%,136,135,10,7,4,2,1,0,17
New Windsor 4,387,667,58.02%,190,134,26,7,8,3,1,0,18
New Windsor 5,594,1005,59.10%,227,272,34,13,14,5,10,0,19
New Windsor 6,369,667,55.32%,207,113,13,7,9,3,2,0,15
New Windsor 7,295,475,62.11%,147,110,13,2,10,2,1,0,10
New Windsor 8,427,766,55.74%,211,173,17,2,6,3,2,0,13
New Windsor 9,286,463,61.77%,155,94,13,4,2,1,1,0,16
New Windsor 10,568,978,58.08%,342,155,22,5,14,7,3,1,19
New Windsor 11,463,760,60.92%,238,165,27,6,5,4,2,0,16
New Windsor 12,296,623,47.51%,185,80,8,3,4,2,0,0,14
New Windsor 13,448,811,55.24%,243,141,20,6,8,5,2,0,23
New Windsor 14,471,850,55.41%,240,159,22,9,5,6,2,0,28
New Windsor 15,621,1126,55.15%,347,211,23,9,5,2,1,0,23
New Windsor 16,737,1220,60.41%,305,336,46,13,11,2,0,0,24
New Windsor 17,233,466,50.00%,132,73,3,4,3,2,0,0,16
New Windsor 18,532,873,60.94%,299,168,17,9,8,3,2,1,25
New Windsor 19,614,1067,57.54%,379,156,27,16,9,7,2,0,18
New Windsor 20,390,660,59.09%,163,155,32,13,7,3,3,0,14
New Windsor 21,421,627,67.15%,157,198,27,6,6,0,5,0,22
New Windsor 22,208,323,64.40%,103,72,20,1,3,1,0,0,8
Newburgh Town 1,301,475,63.37%,152,106,13,4,4,4,1,0,17
Newburgh Town 2,360,541,66.54%,189,132,16,6,4,4,1,0,8
Newburgh Town 3,447,766,58.36%,214,170,24,9,3,5,1,0,21
Newburgh Town 4,520,951,54.68%,294,163,19,11,8,3,3,0,19
Newburgh Town 5,493,756,65.21%,221,206,33,8,4,1,0,0,20
Newburgh Town 6,287,458,62.66%,172,81,9,7,4,0,0,0,14
Newburgh Town 7,318,492,64.63%,138,130,20,8,4,6,1,0,11
Newburgh Town 8,461,734,62.81%,186,214,24,5,7,4,2,0,19
Newburgh Town 9,436,739,59.00%,253,136,23,7,6,4,0,0,7
Newburgh Town 10,348,551,63.16%,184,128,17,5,2,2,0,0,10
Newburgh Town 11,428,769,55.66%,202,155,26,11,6,2,1,0,25
Newburgh Town 12,424,813,52.15%,189,175,29,7,6,3,0,1,14
Newburgh Town 13,551,950,58.00%,304,182,21,8,8,2,0,1,25
Newburgh Town 14,530,866,61.20%,229,236,30,9,10,3,2,0,11
Page 5/9,,,General Election Results - Certified - 12/3/18,,,,,,,,,

Orange County Official Results,,,,,,,,,,,,
US SENATOR (Vote for One),,,,,,,,,,Amended - 12/11/18,,
General Election - 11/6/18,,,,,,,,,,,,
DISTRICT,TO,,,,,,,,,,,
,,,,DEM,REP,CON,WOR,IND,WEP,REF,,
Newburgh Town 15,572,1002,57.09%,317,191,19,14,8,6,0,0,17
Newburgh Town 16,451,824,54.73%,184,176,36,8,8,7,4,0,28
Newburgh Town 17,607,995,61.01%,234,278,49,5,7,5,1,0,28
Newburgh Town 18,501,861,58.19%,221,213,34,3,6,2,4,0,18
Newburgh Town 19,581,959,60.58%,233,272,36,10,7,3,3,0,17
Newburgh Town 20,217,376,57.71%,114,75,13,6,2,2,0,0,5
Newburgh Town 21,562,979,57.41%,208,285,31,7,3,5,3,0,20
Newburgh Town 22,394,650,60.62%,180,154,19,8,7,3,2,0,21
Newburgh Town 23,579,920,62.93%,414,110,16,9,7,4,0,1,18
Newburgh Town 24,451,803,56.16%,206,192,23,3,11,1,2,0,13
Newburgh Town 25,597,1010,59.11%,339,186,26,7,10,7,3,0,19
Newburgh Town 26,270,424,63.68%,97,133,15,2,7,3,0,0,13
Newburgh Town 27,202,332,60.84%,156,33,0,2,6,1,0,0,4
Palm Tree 1,190,388,48.97%,18,14,2,1,147,0,0,0,8
Palm Tree 2,528,900,58.67%,32,20,7,5,449,0,1,0,14
Palm Tree 3,173,288,60.07%,15,6,1,2,144,0,0,0,5
Palm Tree 4,263,566,46.47%,40,19,2,2,190,2,0,0,8
Palm Tree 5,320,640,50.00%,46,16,1,2,235,2,0,0,18
Palm Tree 6,80,320,25.00%,1,5,3,0,68,0,0,0,3
Palm Tree 7,325,584,55.65%,38,14,1,2,261,1,1,0,7
Palm Tree 8,395,743,53.16%,59,22,1,1,298,1,0,0,13
Palm Tree 9,216,532,40.60%,48,9,0,2,137,1,0,0,19
Palm Tree 10,270,574,47.04%,39,20,1,4,187,4,0,0,15
Palm Tree 11,239,490,48.78%,45,11,2,1,161,0,0,0,19
Palm Tree 12,244,442,55.20%,39,14,5,2,167,1,0,0,16
Palm Tree 13,385,790,48.73%,73,23,2,1,253,2,0,0,31
Palm Tree 14,302,650,46.46%,71,4,4,4,197,1,0,0,21
Palm Tree 15,352,759,46.38%,53,21,3,2,249,1,0,2,21
Palm Tree 16,270,570,47.37%,43,20,5,2,181,1,0,0,18
Palm Tree 17,503,842,59.74%,38,31,4,2,415,1,1,0,11
Palm Tree 18,21,66,31.82%,0,6,0,1,12,0,0,0,2
Palm Tree 19,10,20,50.00%,3,0,0,0,7,0,0,0,0
Tuxedo 1,313,550,56.91%,149,121,11,6,9,1,3,0,13
Tuxedo 2,436,675,64.59%,201,177,22,12,4,4,0,0,16
Tuxedo 3,323,569,56.77%,165,124,13,1,2,3,3,0,12
Tuxedo 4,504,772,65.28%,219,228,25,2,2,4,5,0,19
Wallkill 1-1,372,683,54.47%,167,132,29,10,5,6,1,0,22
Wallkill 1-2,512,861,59.47%,202,206,45,13,15,6,3,0,22
Wallkill 1-3,299,577,51.82%,209,52,9,12,3,2,3,0,9
Wallkill 1-4,242,441,54.88%,116,87,17,6,6,1,0,0,9
Wallkill 1-5,163,293,55.63%,60,83,5,3,1,5,1,0,5
Wallkill 1-6,343,758,45.25%,236,72,13,2,5,1,1,0,13
Wallkill 1-7,245,416,58.89%,92,111,17,4,5,7,2,0,7
Wallkill 2-1,313,565,55.40%,168,108,17,0,4,1,1,0,14
Wallkill 2-2,331,618,53.56%,188,107,9,6,5,1,2,0,13
Page 6/9,,,General Election Results - Certified - 12/3/18,,,,,,,,,

Orange County Official Results,,,,,,,,,,,,
US SENATOR (Vote for One),,,,,,,,,,Amended - 12/11/18,,
General Election - 11/6/18,,,,,,,,,,,,
DISTRICT,TO,,,,,,,,,,,
,,,,DEM,REP,CON,WOR,IND,WEP,REF,,
Wallkill 2-3,222,445,49.89%,129,69,11,2,2,1,2,0,6
Wallkill 2-4,351,670,52.39%,256,62,8,5,2,1,1,0,16
Wallkill 2-5,265,565,46.90%,174,54,9,3,5,3,1,2,14
Wallkill 2-6,244,415,58.80%,134,81,15,1,6,0,0,0,7
Wallkill 2-7,216,373,57.91%,126,66,4,5,3,2,0,0,10
Wallkill 3-1,496,831,59.69%,310,126,15,9,3,3,2,0,28
Wallkill 3-2,381,766,49.74%,237,105,7,8,8,3,0,0,13
Wallkill 3-3,668,997,67.00%,426,169,25,9,9,2,2,0,26
Wallkill 3-4,379,815,46.50%,258,78,8,3,4,1,0,0,27
Wallkill 3-5,354,678,52.21%,199,99,11,8,9,2,3,0,23
Wallkill 3-6,543,1037,52.36%,302,175,24,13,8,2,0,0,19
Wallkill 3-7,569,1065,53.43%,408,110,13,11,6,2,1,0,18
Wallkill 4-1,459,811,56.60%,181,202,30,10,13,5,2,0,16
Wallkill 4-2,216,400,54.00%,98,78,16,7,6,1,0,0,10
Wallkill 4-3,274,516,53.10%,156,74,7,9,8,4,1,0,15
Wallkill 4-4,505,881,57.32%,227,195,35,14,8,4,5,0,17
Wallkill 4-5,451,823,54.80%,173,212,29,7,13,2,2,0,13
Warwick 1,377,683,55.20%,161,167,16,11,10,0,2,0,10
Warwick 2,516,805,64.10%,194,243,37,7,4,6,9,0,16
Warwick 3,397,646,61.46%,208,139,18,4,4,1,1,1,21
Warwick 4,590,889,66.37%,287,215,40,15,4,4,1,0,24
Warwick 5,423,695,60.86%,226,133,30,6,5,4,4,0,15
Warwick 6,322,586,54.95%,139,130,23,10,6,2,0,0,12
Warwick 7,364,561,64.88%,149,160,28,2,7,4,1,0,13
Warwick 8,550,911,60.37%,305,182,20,7,7,9,1,0,19
Warwick 9,483,759,63.64%,215,208,27,4,8,4,3,0,14
Warwick 10,433,732,59.15%,155,186,26,5,8,3,2,0,48
Warwick 11,428,754,56.76%,170,183,28,10,9,6,2,0,20
Warwick 12,470,781,60.18%,205,198,31,13,9,4,2,1,7
Warwick 13,433,746,58.04%,233,151,14,11,6,2,1,0,15
Warwick 14,398,672,59.23%,158,170,18,12,6,1,3,0,30
Warwick 15,336,528,63.64%,132,143,18,7,12,2,0,0,22
Warwick 16,523,814,64.25%,219,221,41,8,4,9,0,0,21
Warwick 17,379,642,59.03%,167,156,23,7,4,0,2,0,20
Warwick 18,353,595,59.33%,149,150,24,6,2,2,1,1,18
Warwick 19,469,847,55.37%,196,202,40,11,5,0,2,0,13
Warwick 20,520,816,63.73%,218,217,43,12,5,5,2,0,18
Warwick 21,624,905,68.95%,311,236,49,3,5,3,0,0,17
Warwick 22,422,668,63.17%,263,115,19,7,4,0,5,0,9
Warwick 23,511,834,61.27%,234,198,48,7,5,5,4,0,10
Warwick 24,542,843,64.29%,226,234,38,8,6,7,3,0,20
Warwick 25,408,669,60.99%,199,144,20,6,11,6,9,0,13
Warwick 26,510,832,61.30%,247,193,38,3,10,2,3,1,13
Warwick 27,513,839,61.14%,218,213,44,9,10,4,3,0,12
Warwick 28,438,756,57.94%,198,177,30,5,12,3,2,0,11
Page 7/9,,,General Election Results - Certified - 12/3/18,,,,,,,,,

Orange County Official Results,,,,,,,,,,,,
US SENATOR (Vote for One),,,,,,,,,,Amended - 12/11/18,,
General Election - 11/6/18,,,,,,,,,,,,
DISTRICT,TO,,,,,,,,,,,
,,,,DEM,REP,CON,WOR,IND,WEP,REF,,
Warwick 29,381,659,57.81%,295,53,10,8,4,2,0,0,9
Warwick 30,299,489,61.15%,110,147,20,5,2,2,2,0,11
Warwick 31,257,417,61.63%,114,119,12,1,2,1,3,0,5
Wawayanda 1,496,853,58.15%,179,236,37,12,12,4,3,0,13
Wawayanda 2,484,856,56.54%,235,174,20,13,9,4,1,0,28
Wawayanda 3,474,857,55.31%,203,203,29,4,9,3,1,0,22
Wawayanda 4,410,703,58.32%,178,177,24,4,9,3,0,0,15
Wawayanda 5,401,687,58.37%,143,201,21,5,10,1,4,0,16
Wawayanda 6,570,939,60.70%,217,267,31,9,4,7,2,0,33
Woodbury 1,380,600,63.33%,159,141,28,10,11,3,4,0,24
Woodbury 2,417,702,59.40%,202,151,21,3,10,5,1,0,24
Woodbury 3,463,792,58.46%,235,171,15,5,10,7,3,0,17
Woodbury 4,351,633,55.45%,168,123,16,6,9,6,2,0,21
Woodbury 5,591,922,64.10%,317,193,22,4,7,4,2,0,42
Woodbury 6,474,920,51.52%,208,173,32,10,5,5,2,1,38
Woodbury 7,359,554,64.80%,190,120,14,5,9,5,1,0,15
Woodbury 8,437,706,61.90%,183,198,23,0,7,3,3,0,20
Woodbury 9,185,337,54.90%,128,36,6,2,1,1,0,1,10
Woodbury 10,627,980,63.98%,332,199,35,14,3,5,5,0,34
GRAND TOTAL,125913,220454,57.12%,58942,45428,6515,2173,5655,931,697,36,5536
Page 8/9 General Election Results - Certified - 12/3/18,,,,,,,,,,,,

Orange County Write In's - General Election,,,
,,United States Senator,
Town,Dist,Write In,Vote(s)
MID,3-5,Jen Metzger,1
NBG,1-2,Zephyr Teachout,1
PJ,2-2,VOID,1
BG,4-2,VOID,1
BG,5-4,Thomas O O'Hana,1
CW,3,VOID,2
CW,3,Thomas Bregman,1
CW,6,VOID,1
CW,8,VOID,1
DP,1,VOID,1
GSN,4,Alex McManus,1
GSN,13,Aaron Slotnick,1
GV,2,James J Herkenny,1
GV,2,James Skouffous,1
MRO,1,Dan Burke,1
MRO,3,Jem Metger,1
MRO,8,VOID,1
MRO,14,William Martin Joel,1
