precinct,DEM,REP,CON,GRE,WOR,IND,WEP,REF,SAM,SAM,SAM,LBT
Port Jervis 3-1,115,171,12,4,5,3,1,3,3,0,3,5
Port Jervis 3-2,121,181,15,2,3,6,0,0,2,0,2,2
Port Jervis 4-1,128,105,11,5,1,2,1,2,1,0,1,3
Port Jervis 4-2,134,124,11,4,1,5,0,1,2,0,2,0
Blooming Grove 1-1,99,82,9,3,1,0,0,5,6,0,6,3
Blooming Grove 1-2,225,200,25,7,3,12,2,8,3,0,3,3
Blooming Grove 1-3,190,173,20,4,1,3,0,17,3,0,3,8
Blooming Grove 1-4,17,34,4,1,0,0,0,3,1,0,1,0
Blooming Grove 2-1,71,82,16,1,1,1,1,8,3,1,4,1
Blooming Grove 2-2,167,210,35,8,1,5,0,4,7,1,8,9
Blooming Grove 2-3,128,192,25,8,3,0,1,5,8,0,8,9
Blooming Grove 3-1,122,188,36,6,7,2,3,18,7,0,7,6
Blooming Grove 3-2,117,118,21,5,2,1,2,5,6,0,6,6
Blooming Grove 3-3,103,130,23,5,4,1,0,11,3,0,3,2
Blooming Grove 3-4,18,3,2,3,1,0,0,0,1,0,1,1
Blooming Grove 4-1,82,123,15,2,1,13,1,17,4,0,4,3
Blooming Grove 4-2,127,135,22,6,3,9,1,14,9,0,9,7
Blooming Grove 4-3,88,104,22,6,3,2,0,31,5,0,5,5
Blooming Grove 5-1,113,195,50,4,7,3,0,8,4,1,5,11
Blooming Grove 5-2,12,29,6,0,2,0,0,0,1,0,1,1
Blooming Grove 5-3,121,205,29,11,3,6,5,18,10,0,10,7
Blooming Grove 5-4,119,169,22,5,3,1,0,7,1,0,1,3
Blooming Grove 5-5,23,21,10,2,0,1,0,0,0,0,0,2
Blooming Grove 6-1,112,158,21,5,3,5,0,6,2,0,2,3
Blooming Grove 6-2,126,216,28,8,0,7,2,8,7,0,7,5
Blooming Grove 6-3,150,230,49,13,4,0,1,18,9,0,9,14
Blooming Grove 6-4,8,13,5,0,0,0,0,3,0,0,0,2
Chester 1,221,231,27,9,6,5,3,12,3,1,4,8
Chester 2,125,147,17,7,2,4,4,3,4,0,4,2
Chester 3,167,287,32,8,7,6,2,15,6,0,6,10
Chester 4,217,259,41,7,3,4,3,15,2,1,3,5
Chester 5,134,250,50,2,2,7,2,12,3,0,3,6
Chester 6,139,131,27,10,1,1,0,5,3,0,3,5
Chester 7,202,253,22,9,4,9,2,14,2,0,2,8
Chester 8,198,138,13,5,0,2,6,4,5,1,6,4
Chester 9,105,74,4,3,1,0,2,2,3,0,3,7
Chester 10,127,160,25,13,5,1,2,4,4,0,4,7
Chester 11,98,154,22,6,1,2,1,9,1,0,1,4
Chester 12,163,233,39,15,3,4,1,4,4,1,5,6
Cornwall 1,222,171,26,11,13,7,3,3,3,1,4,9
Cornwall 2,145,148,21,3,4,5,1,4,2,0,2,4
Cornwall 3,189,177,25,7,5,4,4,2,2,0,2,5
Cornwall 4,181,235,43,9,10,6,2,9,6,0,6,2
