precinct,DEM,REP,CON,WOR,IND,WEP,REF,WRITE IN,BLANK
Montgomery 4,140,224,30,7,6,3,1,0,12
Montgomery 5,215,193,25,6,13,7,4,0,15
Montgomery 6,178,149,11,10,8,2,4,0,8
Montgomery 7,194,179,31,11,10,1,2,0,13
Montgomery 8,220,107,19,8,5,2,0,0,20
Montgomery 9,140,180,29,5,4,1,3,0,13
Montgomery 10,129,205,34,3,9,0,3,1,12
Montgomery 11,140,206,24,7,7,2,3,0,5
Montgomery 12,217,132,27,5,6,4,3,1,7
Montgomery 13,197,261,43,7,4,3,3,0,11
Montgomery 14,115,148,26,7,9,2,0,0,9
Montgomery 15,220,189,25,11,9,7,1,0,13
Montgomery 16,213,223,32,8,9,0,3,0,14
Montgomery 17,202,194,20,4,5,3,1,0,18
Montgomery 18,214,310,39,3,8,4,3,0,24
Mount Hope 1,152,156,19,7,3,4,1,0,20
Mount Hope 2,201,243,47,9,10,0,3,0,20
Mount Hope 3,193,264,43,9,13,3,7,0,27
Mount Hope 4,187,272,35,10,6,2,2,3,30
New Windsor 1,150,94,14,3,5,2,0,0,11
New Windsor 2,163,94,21,1,4,4,0,0,16
New Windsor 3,140,132,10,6,5,0,1,0,18
New Windsor 4,191,142,23,7,7,3,0,0,14
New Windsor 5,225,283,34,11,10,4,11,0,18
New Windsor 6,210,116,12,3,6,1,4,0,17
New Windsor 7,142,119,10,7,6,0,2,0,9
New Windsor 8,210,176,16,3,4,3,1,0,14
New Windsor 9,156,102,13,5,2,0,1,0,7
New Windsor 10,339,163,25,2,11,7,2,1,18
New Windsor 11,237,171,25,3,3,4,2,0,18
New Windsor 12,185,79,9,2,4,0,0,1,16
New Windsor 13,238,144,20,7,6,4,3,0,26
New Windsor 14,239,170,23,8,6,2,1,0,22
New Windsor 15,342,216,23,8,6,0,3,0,23
New Windsor 16,307,338,46,7,14,2,3,0,20
New Windsor 17,136,66,5,4,2,4,2,0,14
New Windsor 18,293,171,20,5,7,5,2,1,28
New Windsor 19,380,164,31,12,6,5,2,0,14
New Windsor 20,157,151,41,10,8,3,4,0,16
New Windsor 21,159,207,30,4,5,0,8,0,8
New Windsor 22,103,77,18,0,5,0,0,0,5
Newburgh Town 1,165,107,14,2,3,2,0,0,8
Newburgh Town 2,184,148,14,3,3,3,1,0,4
Newburgh Town 3,214,173,26,6,2,4,1,0,21
Newburgh Town 4,310,156,17,11,5,5,2,0,14
Newburgh Town 5,224,207,32,5,7,1,1,0,16
Newburgh Town 6,178,73,14,5,3,0,1,0,13
Newburgh Town 7,136,138,24,4,5,0,1,0,10
Newburgh Town 8,188,216,26,4,5,3,3,0,16
Newburgh Town 9,236,136,26,7,6,6,1,1,17
Newburgh Town 10,185,122,19,6,3,2,0,0,11
Newburgh Town 11,200,173,23,8,4,2,1,0,17
Newburgh Town 12,190,172,28,7,7,3,0,1,16
Newburgh Town 13,299,195,23,7,7,0,1,0,19
Newburgh Town 14,228,238,33,6,5,3,2,0,15
Newburgh Town 15,315,190,19,7,9,5,1,0,25
Newburgh Town 16,194,182,37,6,8,5,3,0,16
Newburgh Town 17,247,288,39,6,6,3,2,0,16
Newburgh Town 18,220,211,34,2,7,2,3,0,22
Newburgh Town 19,228,276,35,12,10,3,4,0,13
Newburgh Town 20,117,76,8,6,5,1,0,0,4
Newburgh Town 21,208,285,32,7,6,5,0,1,18
Newburgh Town 22,186,157,19,7,5,1,2,0,19
Newburgh Town 23,404,114,19,9,7,3,1,1,22
Newburgh Town 24,200,193,22,7,9,2,2,0,16
Newburgh Town 25,331,189,26,12,10,3,4,0,22
Newburgh Town 26,98,134,17,2,6,1,0,0,12
Newburgh Town 27,154,34,1,3,6,0,0,0,4
Palm Tree 1,4,16,3,1,145,0,0,0,21
Palm Tree 2,2,26,5,0,455,0,1,0,39
Palm Tree 3,1,7,1,0,145,0,0,0,19
Palm Tree 4,3,19,3,1,190,0,0,0,47
Palm Tree 5,5,21,3,1,239,0,0,0,51
Palm Tree 6,0,7,1,0,71,0,0,0,2
Palm Tree 7,8,16,1,0,262,0,0,0,38
Palm Tree 8,3,23,1,0,301,0,0,0,67
Palm Tree 9,4,9,1,0,138,0,0,0,64
Palm Tree 10,4,20,1,1,192,0,0,0,52
Palm Tree 11,3,13,2,0,163,0,1,0,57
Palm Tree 12,2,16,4,0,173,0,0,0,49
Palm Tree 13,9,31,1,0,252,0,0,0,92
Palm Tree 14,10,13,3,0,198,0,0,1,77
Palm Tree 15,6,25,4,0,246,0,0,1,70
Palm Tree 16,8,21,4,0,183,0,0,0,54
Palm Tree 17,4,34,5,0,414,0,2,0,44
Palm Tree 18,0,6,0,1,12,0,0,0,2
Palm Tree 19,0,0,0,0,7,0,0,0,3
Tuxedo 1,146,126,9,4,10,2,4,0,12
Tuxedo 2,202,186,21,7,4,2,1,0,13
Tuxedo 3,172,120,11,3,3,4,0,0,10
Tuxedo 4,213,240,29,2,3,3,2,0,12
Wallkill 1-1,160,141,29,5,7,4,1,0,25
Wallkill 1-2,203,213,44,8,16,5,4,0,19
Wallkill 1-3,202,57,10,12,6,2,1,0,9
Wallkill 1-4,115,94,14,4,4,0,1,0,10
Wallkill 1-5,57,86,7,2,0,1,3,0,7
Wallkill 1-6,226,67,16,2,5,1,0,0,26
Wallkill 1-7,91,110,18,2,7,8,0,0,9
Wallkill 2-1,159,117,15,1,7,2,1,1,10
Wallkill 2-2,179,115,12,4,2,2,2,0,15
Wallkill 2-3,116,75,14,2,4,0,1,0,10
Wallkill 2-4,257,65,9,3,1,2,0,0,14
Wallkill 2-5,175,56,9,2,5,3,0,0,15
Wallkill 2-6,130,73,17,2,5,2,1,0,14
Wallkill 2-7,124,70,4,5,1,1,1,0,10
Wallkill 3-1,296,152,12,6,5,2,0,0,23
Wallkill 3-2,233,113,7,3,7,2,0,0,16
Wallkill 3-3,424,171,27,7,9,0,0,0,30
Wallkill 3-4,254,82,8,3,6,1,0,0,25
Wallkill 3-5,197,104,13,5,6,1,2,0,26
Wallkill 3-6,301,175,27,10,5,2,2,0,21
Wallkill 3-7,396,116,13,9,8,2,0,0,25
Wallkill 4-1,174,221,28,9,6,3,3,0,15
Wallkill 4-2,103,76,15,7,7,0,0,0,8
Wallkill 4-3,154,84,7,4,7,0,0,0,18
Wallkill 4-4,223,211,38,9,4,2,4,0,14
Wallkill 4-5,171,215,31,10,5,1,1,1,16
Warwick 1,160,173,16,8,9,1,2,0,8
Warwick 2,187,258,40,1,4,2,5,0,19
Warwick 3,201,146,17,7,3,1,2,1,19
Warwick 4,280,216,46,19,4,4,1,1,19
Warwick 5,228,134,29,4,4,2,5,0,17
Warwick 6,143,127,27,5,4,0,1,0,15
Warwick 7,141,166,29,3,6,4,0,1,14
Warwick 8,310,179,18,3,6,4,2,0,28
Warwick 9,211,218,30,1,8,5,1,0,9
Warwick 10,150,199,26,7,5,2,2,0,42
Warwick 11,167,187,28,7,12,5,3,0,19
Warwick 12,203,208,31,6,11,3,2,0,6
Warwick 13,218,166,13,10,6,0,3,0,17
Warwick 14,156,176,24,11,3,3,5,0,20
Warwick 15,137,150,21,6,8,0,3,0,11
Warwick 16,205,233,42,6,4,11,1,0,21
Warwick 17,166,167,24,6,2,0,1,0,13
Warwick 18,148,154,26,4,3,1,1,1,15
Warwick 19,198,207,37,7,6,0,1,0,13
Warwick 20,213,225,39,12,6,8,3,0,14
Warwick 21,309,241,50,2,6,4,0,0,12
Warwick 22,261,117,19,7,7,1,2,0,8
Warwick 23,226,202,53,5,7,5,1,0,12
Warwick 24,219,242,38,7,7,7,2,0,21
Warwick 25,193,148,21,6,11,8,5,0,16
Warwick 26,248,198,38,1,10,2,4,0,9
Warwick 27,208,220,44,11,10,2,5,0,13
Warwick 28,191,179,31,4,6,2,4,0,21
Warwick 29,290,61,10,9,4,0,0,0,7
Warwick 30,102,155,19,7,2,1,1,0,12
Warwick 31,107,126,12,4,4,1,2,0,1
Wawayanda 1,172,253,43,5,7,3,3,0,10
Wawayanda 2,239,174,21,8,7,5,4,0,26
Wawayanda 3,190,218,34,2,10,2,2,0,16
Wawayanda 4,176,189,25,1,9,2,1,0,7
Wawayanda 5,138,214,21,2,9,2,3,0,14
Wawayanda 6,207,293,28,4,5,3,4,0,26
Woodbury 1,153,147,32,7,7,2,4,0,28
Woodbury 2,195,162,22,5,11,1,1,0,20
Woodbury 3,234,170,16,6,9,0,4,0,24
Woodbury 4,168,129,14,4,9,3,2,0,22
Woodbury 5,312,196,22,5,7,4,4,0,41
Woodbury 6,202,191,27,7,6,3,4,0,34
Woodbury 7,192,117,13,3,9,2,8,0,15
Woodbury 8,175,211,27,3,5,1,2,0,13
Woodbury 9,129,36,7,0,1,1,1,0,10
Woodbury 10,321,216,36,14,5,3,9,0,23
