Orange County Official Results,,,,,,,,,,,,
MEMBER OF CONGRESS - 18th CD,(Vote for One),,,,,,,,,,,
General Election - 11/6/18,,,,,,,,,,,,
T,,,,,,,,,,,,
C,,,,,,,,,,,,
,,,,DEM,REP,CON WOR,,IND,WEP,REF,,
Monroe 9,259,510,50.78%,141,81,11,4,3,1,1,0,17
Monroe 10,483,881,54.82%,198,207,35,7,4,5,5,0,22
Monroe 11,359,561,63.99%,131,186,18,1,1,1,1,0,20
Monroe 12,435,694,62.68%,173,197,32,7,5,5,3,0,13
Monroe 13,372,639,58.22%,183,142,24,10,2,5,2,0,4
Monroe 14,368,587,62.69%,138,170,26,6,7,4,3,0,14
Monroe 15,604,997,60.58%,296,216,37,5,9,6,6,0,29
Monroe 16,331,484,68.39%,139,148,17,2,5,1,2,0,17
Monroe 17,415,659,62.97%,172,170,32,7,6,2,4,1,21
Monroe 18,78,260,30.00%,18,29,3,1,17,0,1,0,9
Monroe 19,223,396,56.31%,132,72,4,2,0,1,0,0,12
Monroe 20,0,1,0.00%,0,0,0,0,0,0,0,0,0
Monroe 21,0,0,#DIV/0!,0,0,0,0,0,0,0,0,0
Montgomery 1,467,780,59.87%,165,229,43,6,4,3,4,0,13
Page 4/9,,,,,,,,General Election Results - Certified - 12/3/18,,,,

Orange County Official Results,,,,,,,,,,,,
MEMBER OF CONGRESS - 18th CD,(Vote for One),,,,,,,,,,,
General Election - 11/6/18,,,,,,,,,,,,
T,,,,,,,,,,,,
C,,,,,,,,,,,,
,,,,DEM,REP,CON WOR,,IND,WEP,REF,,
Montgomery 2,606,984,61.59%,307,228,28,10,8,2,3,0,20
Montgomery 3,582,1024,56.84%,304,211,23,5,7,4,0,0,28
Montgomery 4,423,738,57.32%,140,224,30,7,6,3,1,0,12
Montgomery 5,478,857,55.78%,215,193,25,6,13,7,4,0,15
Montgomery 6,370,682,54.25%,178,149,11,10,8,2,4,0,8
Montgomery 7,441,791,55.75%,194,179,31,11,10,1,2,0,13
Montgomery 8,381,703,54.20%,220,107,19,8,5,2,0,0,20
Montgomery 9,375,651,57.60%,140,180,29,5,4,1,3,0,13
Montgomery 10,396,658,60.18%,129,205,34,3,9,0,3,1,12
Montgomery 11,394,663,59.43%,140,206,24,7,7,2,3,0,5
Montgomery 12,402,805,49.94%,217,132,27,5,6,4,3,1,7
Montgomery 13,529,823,64.28%,197,261,43,7,4,3,3,0,11
Montgomery 14,316,567,55.73%,115,148,26,7,9,2,0,0,9
Montgomery 15,475,815,58.28%,220,189,25,11,9,7,1,0,13
Montgomery 16,502,818,61.37%,213,223,32,8,9,0,3,0,14
Montgomery 17,447,792,56.44%,202,194,20,4,5,3,1,0,18
Montgomery 18,605,954,63.42%,214,310,39,3,8,4,3,0,24
Mount Hope 1,362,665,54.44%,152,156,19,7,3,4,1,0,20
Mount Hope 2,533,919,58.00%,201,243,47,9,10,0,3,0,20
Mount Hope 3,559,941,59.40%,193,264,43,9,13,3,7,0,27
Mount Hope 4,547,923,59.26%,187,272,35,10,6,2,2,3,30
New Windsor 1,279,457,61.05%,150,94,14,3,5,2,0,0,11
New Windsor 2,303,573,52.88%,163,94,21,1,4,4,0,0,16
New Windsor 3,312,510,61.18%,140,132,10,6,5,0,1,0,18
New Windsor 4,387,667,58.02%,191,142,23,7,7,3,0,0,14
New Windsor 5,596,1005,59.30%,225,283,34,11,10,4,11,0,18
New Windsor 6,369,667,55.32%,210,116,12,3,6,1,4,0,17
New Windsor 7,295,475,62.11%,142,119,10,7,6,0,2,0,9
New Windsor 8,427,766,55.74%,210,176,16,3,4,3,1,0,14
New Windsor 9,286,463,61.77%,156,102,13,5,2,0,1,0,7
New Windsor 10,568,978,58.08%,339,163,25,2,11,7,2,1,18
New Windsor 11,463,760,60.92%,237,171,25,3,3,4,2,0,18
New Windsor 12,296,623,47.51%,185,79,9,2,4,0,0,1,16
New Windsor 13,448,811,55.24%,238,144,20,7,6,4,3,0,26
New Windsor 14,471,850,55.41%,239,170,23,8,6,2,1,0,22
New Windsor 15,621,1126,55.15%,342,216,23,8,6,0,3,0,23
New Windsor 16,737,1220,60.41%,307,338,46,7,14,2,3,0,20
New Windsor 17,233,466,50.00%,136,66,5,4,2,4,2,0,14
New Windsor 18,532,873,60.94%,293,171,20,5,7,5,2,1,28
New Windsor 19,614,1067,57.54%,380,164,31,12,6,5,2,0,14
New Windsor 20,390,660,59.09%,157,151,41,10,8,3,4,0,16
New Windsor 21,421,627,67.15%,159,207,30,4,5,0,8,0,8
Page 5/9,,,,,,,,General Election Results - Certified - 12/3/18,,,,

Orange County Official Results,,,,,,,,,,,,
MEMBER OF CONGRESS - 18th CD,(Vote for One),,,,,,,,,,,
General Election - 11/6/18,,,,,,,,,,,,
T,,,,,,,,,,,,
C,,,,,,,,,,,,
,,,,DEM,REP,CON WOR,,IND,WEP,REF,,
New Windsor 22,208,323,64.40%,103,77,18,0,5,0,0,0,5
Newburgh Town 1,301,475,63.37%,165,107,14,2,3,2,0,0,8
Newburgh Town 2,360,541,66.54%,184,148,14,3,3,3,1,0,4
Newburgh Town 3,447,766,58.36%,214,173,26,6,2,4,1,0,21
Newburgh Town 4,520,951,54.68%,310,156,17,11,5,5,2,0,14
Newburgh Town 5,493,756,65.21%,224,207,32,5,7,1,1,0,16
Newburgh Town 6,287,458,62.66%,178,73,14,5,3,0,1,0,13
Newburgh Town 7,318,492,64.63%,136,138,24,4,5,0,1,0,10
Newburgh Town 8,461,734,62.81%,188,216,26,4,5,3,3,0,16
Newburgh Town 9,436,739,59.00%,236,136,26,7,6,6,1,1,17
Newburgh Town 10,348,551,63.16%,185,122,19,6,3,2,0,0,11
Newburgh Town 11,428,769,55.66%,200,173,23,8,4,2,1,0,17
Newburgh Town 12,424,813,52.15%,190,172,28,7,7,3,0,1,16
Newburgh Town 13,551,950,58.00%,299,195,23,7,7,0,1,0,19
Newburgh Town 14,530,866,61.20%,228,238,33,6,5,3,2,0,15
Newburgh Town 15,571,1002,56.99%,315,190,19,7,9,5,1,0,25
Newburgh Town 16,451,824,54.73%,194,182,37,6,8,5,3,0,16
Newburgh Town 17,607,995,61.01%,247,288,39,6,6,3,2,0,16
Newburgh Town 18,501,861,58.19%,220,211,34,2,7,2,3,0,22
Newburgh Town 19,581,959,60.58%,228,276,35,12,10,3,4,0,13
